No,Magnet,Position,x_shift[m],y_shift[m],z_shift[m],Strength_ratio,RMS(d_px),Mean(d_px),RMS(d_py),Mean(d_py),RMS(d_pz),Mean(d_pz),RMS(d_sx),Mean(d_sx),RMS(d_sy),Mean(d_sy),RMS(d_x),Mean(d_x),RMS(d_y),Mean(d_y)
116_1,VKICKER(1),29.842,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_1,VKICKER(2),38.019,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_1,VKICKER(3),53.814,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_1,VKICKER(4),164.888,0.0002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_1,VKICKER(5),167.481,0.0002,0,0,1,0,0,0,0,0,0,1.37261e-07,-7.16813e-07,0,0,5.04102e-06,0.00027022,0,0
121_1,HKICKER(1),29.842,0.0005,0,0,1,0,0,0,0,0,0,8.65375e-07,-5.7054e-06,0,0,0.000542783,0.000370032,0,0
122_1,HKICKER(2),38.019,0.0005,0,0,1,0,0,0,0,0,0,7.933e-07,-5.83863e-06,0,0,0.000409172,-0.00190229,0,0
123_1,HKICKER(3),53.814,0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,-1.79203e-06,0,0,1.26025e-05,0.000675551,0,0
124_1,HKICKER(4),166.185,0.0005,0,0,1,0,0,0,0,0,0,3.43152e-07,-1.79203e-06,0,0,1.26025e-05,0.000675551,0,0
125_1,HKICKER(5),193.898,0.0005,0,0,1,0,0,0,0,0,0,5.11518e-07,-6.41169e-06,0,0,4.36637e-06,0.000445356,0,0
126_1,QUADRUPOLE(1),29.335,0.0005,0,0,1,0,0,0,0,0,0,2.29704e-06,2.70301e-06,0,0,0.00043429,-0.00251459,0,0
127_1,QUADRUPOLE(2),37.55,0.0005,0,0,1,0,0,0,0,0,0,1.60348e-06,1.33231e-07,0,0,0.000135142,0.00227232,0,0
128_1,QUADRUPOLE(3),44.05,0.0005,0,0,1,0,0,0,0,0,0,1.72746e-06,2.16046e-06,0,0,7.81779e-05,0.00295203,0,0
